IUCN Category,Species,Country,Unit,PowerCode,Value
Threatened species as % of known species,Amphibians,Finland,Percentage,Units,14.286
Threatened species as % of known species,Vascular plants,Finland,Percentage,Units,15.887
Threatened species as % of known species,Freshwater Fish,Finland,Percentage,Units,17.391
Threatened indigenous species as % of indigenous spec.,Mammals,Finland,Percentage,Units,10.448
Threatened indigenous species as % of indigenous spec.,Birds,Finland,Percentage,Units,35.51
Threatened indigenous species as % of indigenous spec.,Reptiles,Finland,Percentage,Units,20
Threatened indigenous species as % of indigenous spec.,Amphibians,Finland,Percentage,Units,14.286
Threatened indigenous species as % of indigenous spec.,Vascular plants,Finland,Percentage,Units,21.413
Threatened indigenous species as % of indigenous spec.,Freshwater Fish,Finland,Percentage,Units,17.391
Total number of known species,Freshwater Fish,France,Number,Units,69
Number of endangered species,Freshwater Fish,France,Number,Units,2
Number of critically endangered species,Freshwater Fish,France,Number,Units,4
Number of vulnerable species,Freshwater Fish,France,Number,Units,9
Total number of threatened species,Freshwater Fish,France,Number,Units,15
Number of critically endangered indigenous species,Birds,France,Number,Units,16
Total number of indigenous threatened species,Birds,France,Number,Units,92
Threatened species as % of known species,Mammals,France,Percentage,Units,13.6
Threatened species as % of known species,Birds,France,Percentage,Units,27.366
Threatened species as % of known species,Reptiles,France,Percentage,Units,23.684
Threatened species as % of known species,Amphibians,France,Percentage,Units,22.857
Threatened species as % of known species,Freshwater Fish,France,Percentage,Units,21.739
Threatened indigenous species as % of indigenous spec.,Birds,France,Percentage,Units,32.394
Total number of known species,Freshwater Fish,Germany,Number,Units,93
Total number of indigenous known species,Freshwater Fish,Germany,Number,Units,79
Number of endangered species,Freshwater Fish,Germany,Number,Units,9
Number of critically endangered species,Freshwater Fish,Germany,Number,Units,8
Number of vulnerable species,Freshwater Fish,Germany,Number,Units,11
Total number of threatened species,Freshwater Fish,Germany,Number,Units,28
Number of endangered indigenous species,Freshwater Fish,Germany,Number,Units,9
Number of critically endangered indigenous species,Freshwater Fish,Germany,Number,Units,8
Number of vulnerable indigenous species,Freshwater Fish,Germany,Number,Units,11
Total number of indigenous threatened species,Mammals,Germany,Number,Units,32
Total number of indigenous threatened species,Birds,Germany,Number,Units,94
Total number of indigenous threatened species,Reptiles,Germany,Number,Units,8
Total number of indigenous threatened species,Amphibians,Germany,Number,Units,8
Total number of indigenous threatened species,Vascular plants,Germany,Number,Units,896
Total number of indigenous threatened species,Freshwater Fish,Germany,Number,Units,28
Threatened species as % of known species,Mammals,Germany,Percentage,Units,34.409
Threatened species as % of known species,Birds,Germany,Percentage,Units,35.606
Threatened species as % of known species,Reptiles,Germany,Percentage,Units,61.538
Threatened species as % of known species,Amphibians,Germany,Percentage,Units,36.364
Threatened species as % of known species,Vascular plants,Germany,Percentage,Units,27.384
Threatened species as % of known species,Freshwater Fish,Germany,Percentage,Units,30.108
Threatened indigenous species as % of indigenous spec.,Mammals,Germany,Percentage,Units,37.647
Threatened indigenous species as % of indigenous spec.,Birds,Germany,Percentage,Units,38.525
Threatened indigenous species as % of indigenous spec.,Reptiles,Germany,Percentage,Units,61.538
Threatened indigenous species as % of indigenous spec.,Amphibians,Germany,Percentage,Units,40
Threatened indigenous species as % of indigenous spec.,Vascular plants,Germany,Percentage,Units,30.332
Threatened indigenous species as % of indigenous spec.,Freshwater Fish,Germany,Percentage,Units,35.443
Total number of known species,Fish,Greece,Number,Units,665
Total number of known species,Marine Fish,Greece,Number,Units,511
Total number of known species,Freshwater Fish,Greece,Number,Units,154
Total number of indigenous known species,Fish,Greece,Number,Units,601
Total number of indigenous known species,Marine Fish,Greece,Number,Units,469
Total number of indigenous known species,Freshwater Fish,Greece,Number,Units,125
Number of endangered species,Fish,Greece,Number,Units,16
Number of endangered species,Marine Fish,Greece,Number,Units,4
Number of endangered species,Freshwater Fish,Greece,Number,Units,12
Number of critically endangered species,Fish,Greece,Number,Units,19
Number of critically endangered species,Marine Fish,Greece,Number,Units,5
Number of critically endangered species,Freshwater Fish,Greece,Number,Units,14
Number of vulnerable species,Fish,Greece,Number,Units,28
Number of vulnerable species,Marine Fish,Greece,Number,Units,5
Number of vulnerable species,Freshwater Fish,Greece,Number,Units,23
Total number of threatened species,Fish,Greece,Number,Units,63
Total number of threatened species,Marine Fish,Greece,Number,Units,14
Total number of threatened species,Freshwater Fish,Greece,Number,Units,49
Number of endangered indigenous species,Fish,Greece,Number,Units,16
Number of endangered indigenous species,Marine Fish,Greece,Number,Units,4
Number of endangered indigenous species,Freshwater Fish,Greece,Number,Units,12
Number of critically endangered indigenous species,Fish,Greece,Number,Units,19
Number of critically endangered indigenous species,Marine Fish,Greece,Number,Units,5
Number of critically endangered indigenous species,Freshwater Fish,Greece,Number,Units,14
Number of vulnerable indigenous species,Fish,Greece,Number,Units,28
Number of vulnerable indigenous species,Marine Fish,Greece,Number,Units,5
Number of vulnerable indigenous species,Freshwater Fish,Greece,Number,Units,23
Total number of indigenous threatened species,Mammals,Greece,Number,Units,29
Total number of indigenous threatened species,Birds,Greece,Number,Units,62
Total number of indigenous threatened species,Reptiles,Greece,Number,Units,9
Total number of indigenous threatened species,Amphibians,Greece,Number,Units,6
Total number of indigenous threatened species,Fish,Greece,Number,Units,63
Total number of indigenous threatened species,Marine Fish,Greece,Number,Units,14
Total number of indigenous threatened species,Freshwater Fish,Greece,Number,Units,49
Threatened species as % of known species,Mammals,Greece,Percentage,Units,25.217
Threatened species as % of known species,Birds,Greece,Percentage,Units,14.091
Threatened species as % of known species,Reptiles,Greece,Percentage,Units,13.636
Threatened species as % of known species,Amphibians,Greece,Percentage,Units,26.087
Threatened species as % of known species,Vascular plants,Greece,Percentage,Units,4.359
Threatened species as % of known species,Fish,Greece,Percentage,Units,9.474
Threatened species as % of known species,Marine Fish,Greece,Percentage,Units,2.74
Threatened species as % of known species,Freshwater Fish,Greece,Percentage,Units,31.818
Threatened indigenous species as % of indigenous spec.,Mammals,Greece,Percentage,Units,25.664
Threatened indigenous species as % of indigenous spec.,Birds,Greece,Percentage,Units,17.664
Threatened indigenous species as % of indigenous spec.,Reptiles,Greece,Percentage,Units,14.063
Threatened indigenous species as % of indigenous spec.,Amphibians,Greece,Percentage,Units,27.273
Threatened indigenous species as % of indigenous spec.,Fish,Greece,Percentage,Units,10.483
Threatened indigenous species as % of indigenous spec.,Marine Fish,Greece,Percentage,Units,2.985
Threatened indigenous species as % of indigenous spec.,Freshwater Fish,Greece,Percentage,Units,39.2
Total number of known species,Fish,Hungary,Number,Units,81
Total number of known species,Freshwater Fish,Hungary,Number,Units,81
Total number of indigenous known species,Fish,Hungary,Number,Units,52
Total number of indigenous known species,Freshwater Fish,Hungary,Number,Units,52
Total number of threatened species,Fish,Hungary,Number,Units,35
Total number of threatened species,Freshwater Fish,Hungary,Number,Units,35
Total number of indigenous threatened species,Mammals,Hungary,Number,Units,14
Total number of indigenous threatened species,Birds,Hungary,Number,Units,78
Total number of indigenous threatened species,Reptiles,Hungary,Number,Units,4
Total number of indigenous threatened species,Amphibians,Hungary,Number,Units,2
Total number of indigenous threatened species,Vascular plants,Hungary,Number,Units,382
Threatened species as % of known species,Mammals,Hungary,Percentage,Units,16.092
Threatened species as % of known species,Birds,Hungary,Percentage,Units,17.931
Threatened species as % of known species,Reptiles,Hungary,Percentage,Units,26.667
Threatened species as % of known species,Amphibians,Hungary,Percentage,Units,11.111
Threatened species as % of known species,Vascular plants,Hungary,Percentage,Units,14.039
Threatened species as % of known species,Fish,Hungary,Percentage,Units,43.21
Threatened species as % of known species,Freshwater Fish,Hungary,Percentage,Units,43.21
Threatened indigenous species as % of indigenous spec.,Mammals,Hungary,Percentage,Units,18.421
Threatened indigenous species as % of indigenous spec.,Birds,Hungary,Percentage,Units,18.571
