Year,Country,VAR,Variable,Unit Code,Unit,PowerCode,Value
2013,Austria,OTH_RECOV,Other recovery,TONNE,Tonnes,Thousands,0.0
2014,Austria,OTH_RECOV,Other recovery,TONNE,Tonnes,Thousands,0.0
2015,Austria,OTH_RECOV,Other recovery,TONNE,Tonnes,Thousands,0.0
2016,Austria,OTH_RECOV,Other recovery,TONNE,Tonnes,Thousands,0.0
2017,Austria,OTH_RECOV,Other recovery,TONNE,Tonnes,Thousands,0.0
2000,Austria,DISPOSAL,Disposal operations,TONNE,Tonnes,Thousands,1572.0
2001,Austria,DISPOSAL,Disposal operations,TONNE,Tonnes,Thousands,1542.0
2002,Austria,DISPOSAL,Disposal operations,TONNE,Tonnes,Thousands,1512.0
2003,Austria,DISPOSAL,Disposal operations,TONNE,Tonnes,Thousands,1483.0
2004,Austria,DISPOSAL,Disposal operations,TONNE,Tonnes,Thousands,557.0
2005,Austria,DISPOSAL,Disposal operations,TONNE,Tonnes,Thousands,534.8
2006,Austria,DISPOSAL,Disposal operations,TONNE,Tonnes,Thousands,484.8
2007,Austria,DISPOSAL,Disposal operations,TONNE,Tonnes,Thousands,427.2
2008,Austria,DISPOSAL,Disposal operations,TONNE,Tonnes,Thousands,373.1
2009,Austria,DISPOSAL,Disposal operations,TONNE,Tonnes,Thousands,302.1
2010,Austria,DISPOSAL,Disposal operations,TONNE,Tonnes,Thousands,153.3
2011,Austria,DISPOSAL,Disposal operations,TONNE,Tonnes,Thousands,229.9
2012,Austria,DISPOSAL,Disposal operations,TONNE,Tonnes,Thousands,207.3
2013,Austria,DISPOSAL,Disposal operations,TONNE,Tonnes,Thousands,199.0
2014,Austria,DISPOSAL,Disposal operations,TONNE,Tonnes,Thousands,194.1
2015,Austria,DISPOSAL,Disposal operations,TONNE,Tonnes,Thousands,143.6
2016,Austria,DISPOSAL,Disposal operations,TONNE,Tonnes,Thousands,132.2
2017,Austria,DISPOSAL,Disposal operations,TONNE,Tonnes,Thousands,102.9
2000,Austria,INCINERATION_WITHOUT,Incineration without energy recovery,TONNE,Tonnes,Thousands,0.0
2001,Austria,INCINERATION_WITHOUT,Incineration without energy recovery,TONNE,Tonnes,Thousands,0.0
2002,Austria,INCINERATION_WITHOUT,Incineration without energy recovery,TONNE,Tonnes,Thousands,0.0
2003,Austria,INCINERATION_WITHOUT,Incineration without energy recovery,TONNE,Tonnes,Thousands,0.0
2004,Austria,INCINERATION_WITHOUT,Incineration without energy recovery,TONNE,Tonnes,Thousands,0.0
2005,Austria,INCINERATION_WITHOUT,Incineration without energy recovery,TONNE,Tonnes,Thousands,0.0
2006,Austria,INCINERATION_WITHOUT,Incineration without energy recovery,TONNE,Tonnes,Thousands,0.0
2007,Austria,INCINERATION_WITHOUT,Incineration without energy recovery,TONNE,Tonnes,Thousands,0.0
2008,Austria,INCINERATION_WITHOUT,Incineration without energy recovery,TONNE,Tonnes,Thousands,0.0
2009,Austria,INCINERATION_WITHOUT,Incineration without energy recovery,TONNE,Tonnes,Thousands,0.0
2010,Austria,INCINERATION_WITHOUT,Incineration without energy recovery,TONNE,Tonnes,Thousands,0.0
2011,Austria,INCINERATION_WITHOUT,Incineration without energy recovery,TONNE,Tonnes,Thousands,0.0
2012,Austria,INCINERATION_WITHOUT,Incineration without energy recovery,TONNE,Tonnes,Thousands,0.0
